product,hour,title,date,helpful,comment
257,57.3,Recommended," June 2, 2017",1,"Cities: Skylines is a very in depth, complex, and well-made city building game. As if you couldn't have guessed that already. It allows you, in its basic state (that being without DLC or mods), to create a city from a fair variety of maps, each with different things going for them such as water quantity, oil reserves, building area etc. Your task is, simply, to get as many people to live in your city, keep them happy, make it as good as you can, and make a load of money. The same as the government’s job, really. Except the ""keeping people happy bit""...yeah...The game allows you to design and expand a city with the use of many tools such as zoning, district planning and other features that let you change the smaller, more intricate details of your city. You can set different laws within your districts to make them work more efficiently at what you want them to do. I feel like this is all done really well. I have not got any DLC's, and only recently did I get a few mods, but I don't feel like the game ever really needed them.Over the course of your cities expansion, you will face challenges. You must supply water, electric and road access to people, and zone your areas well to create a nice amount of residential, commercial and industrial areas. As the demand for them increases, it is expected that you appease them. You will also have to work around the formation of the land that you are on to make your city as functional and as sustainable as it can be, otherwise it will lack in efficiency, and perhaps upset the people. If they don’t like your city, they will first stop paying taxes, making it much harder for you to amend your previous errors. After that, they will leave, and you will be very lonely in that ghost town of yours. And probably quite angry as you’ll have to start a new game again. One problem that is hard to manage is the flow of traffic. You must make reliable and efficient road networks throughout your city, otherwise it will become stagnant. Public services such as busses will be rendered useless, nobody will be able to get to work, and emergency services will be crippled if your roads are congested all the time.As your city progresses in size, the feature is available to you to buy more land, thus enabling you to continue your expansion. Eventually, if you are good enough at this game, you will fill the maximum amount of land you can buy, at which point, you’ll probably be feeling quite proud of yourself. Well done.Overall, I would rate this game a well-earned 10/10. I can’t really fault it on anything. Out of all the city building games out there, this is the most detailed and intricate, while remaining fun to play, and enjoyably challenging. Graphically, it looks great, and the gameplay feels smooth. It has to be the best game of its type."
131,181.9,Recommended," April 19, 2015",1,"In 2013, after 10 years of waiting, the Sim City community of modders, fans, and aficionados rushed out to purchase the fifth installment of Sim City. Ten years is a long time to wait for a game, but people had a lot of faith in Maxis when they announced the title. Long story short, it was a massive dissapointment. Maxis and EA crippled Sim City 5 with DRM, Always On APM, tiny maps, forced origin installation, lacking mod support, no steam support, and a forced multiplayer aspect. I decided to not purchase the title, so it may have been a decent game, but 2 years later a team of 12 people created a game that does everything maxis insisted was utterly and totaly impossible.Everything the mod community did that kept Sim City 4 on the shelves in Wallmarts across America for an entire decade was ignored. Maxis (and to a lesser extent EA) ignored the fans, and gave the people who had kept them in business for twenty years a crippled subpar game. And for that Maxis is now out of business. They will never make another game, and it is no one's fault but theirs.Now pretend none of that happened. It's 2013 again, and here it is people: Sim City 5.The game balance is a bit on the easy side for veterans of the genre, but the potential map size is ENOURMOUS and customizing your city could fill up years of gameplay time. The game runs so smoothly with so much going on, it really shows how lazy Maxis was with their approach. The glass in buildings reflects the sun and the buildings near it, there are dynamic shadows, zoning is back, and it is not 'dumbed down'. A single tile in this game is twice the size of the alloted map in Sim City, and you can purchase dozens of additional tiles to expand. The map editor is awesome, the community is thriving, there are mods to do anything you want, and this is the city building game we've all been waiting for. I can not possibly reccomend this more."
207,65.3,Recommended," March 10, 2015",2,"This is an outstanding game. This is an exceptionally outstanding citybuilder game, in a genre that for too long, has been deeply troubled with over-casualization, poor optimization, ill-thought out concepts, microtransactions, and general publisher shenangans.Positives* Excellent Performance. I find that my city runs extremely well on my laptop even as it grows. I have not really noticed any dips in performance. The game seamlessly transitions between following an entity, and zooming out to broadly appreciate my traffic network.* Intuitive game mechanics. I was able to jump straight in and make assumptions about mechanics that made sense, and those were reflected in the game. As an example, I assumed people would use a variety of methods to get to work (hop on the metro, then take a bus), When I tracked people, they would do this.* Full Simulation. Things just make sense, you build a dam - the water level raises. People go to the store. People go to work. The water gets dirty from pollution. I get a sense that the city is a living and breathing entity - it gives me context to the experience.* Free, Focused Construction. You place roads and zones freely, focused around the placement of the roads. The zones are indelibly linked to this. It was a great design decision and simplifies the more annoying aspects of construction. It also makes the transport very obvious as one of the key aspects of the game.* The listed city population seems much lower than it should be. My city looks like it should be about 100,000 people, but the listed population is only 30,000.* Not enough snapping options. This makes it really hard to make your own cloverleaf in highways if you are particulary OCD about this kind of thing, it's almost impossible to make angles of a similar basis repeatedly.* The Metro + Bus placement lacks feedback and is difficult to expand once done. I feel that you are really fairly blindly approaching this, at least at the start. Over time I might grow to understand this more. Also the numbers don't often line up well. My metro station might say ""100 per week"" but in the overall transport graph only 20 people are said to be using the metro.If you like citybuilders, buy this game. Not since SimCity 4 Rush Hour have I enjoyed an experience this much. I find it hard to suggest major ways to improve the concept. I strongly dislike casual approaches to the genre, and this is not one of those. Yet I also think it makes the genre more accessible."
625,94.2,Recommended," May 19, 2016",388,"For 2 weeks I debated purchasing Cities: Skylines (I'm sure I annoyed most of my friends by weighing the pros and cons with them!) Eventually I said, ""screw it"" and made the purchase: I have not regretted it since.In a nut shell, Cities: Skylines is your basic city simulator. You start off with a blank landscape and a highway off to the side, of which is the key to growing your sprawling city. Sounds very simple, yes? Well, not quite. Cities: Skylines goes beyond just throwing houses and shops together. You're required to check pollutants in the form of ground and noise, dissiptating clogged roadways, providing entertainment, and so much more. Essentially, this game is everything that you could ever ask for in a simulator.---------------------------------------------------------Pros+ Replayability value is here 100%+ Sound effects are great and very life-like+ The graphics, my oh my, the graphics - they are absolutely stunning; if you're able to play on high graphics, then go for it. The view is very rewarding and satisfying. Great job, !+ There is always something to look out for: budgeting, job and housing demands, etc. This game is definitely no joke. It demands your every attention and is not something you can just idle+ Related to the graphics point: I love how this game works so well on my non-gaming laptop. I have a Toshiba E45T which is not one by any means. This game is so well optimised, I can still enjoy it to its fullest though+ The ""basic"" version of offers a lot at a decent price. If your budget is fairly tight, then disregard the unless you really want 5 extra monuments (plus as a way to support the developer's further). You can always get the 5 extra monuments through the workshop± DLC's are a bit pricey and I'm not sure if it's really worth it. In the end, it's your call: comes with some new lanes and a couple edicts, leisure and tourism specializations (night clubs, etc.), and extra buildings. Some people are noting that it comes with a night and day cycle, but I was experiencing the cycle without the DLC... maybe I'm just confusing something!: snow, obviously, hah! Also snowmaps, snowplows and snowpiles, more edicts and heating systems.: In my opinion, the DLC's are not worth it at their full price. Yes, they serve to enhance gameplay and also act as a way for you to support the developer's as well. With the little amount of content that both of them offer, however, and at $12+ price tags, I'd say your money would be better spent elsewhere. So, either wait until the DLC's are cheaper (I'd say under $8 would be more appropriate), avoid the DLC's completely, or just splurge because you want to. If you're an achievement hunter like me, then you'll need to purchase the DLC's.If budget is an issue, then I would suggest getting first. It has been much more enjoyable due to it's far more superior offering of content. Quite frankly, I haven't even really played with since it doesn't offer much beyond its name. It's completely up to you!- Realistic traffic please! (There is a mod for this though)- Can there be an undo button? It would be extremely helpful- Connecting roads can be a real hassle at times, especially when you're looking to upgrade them- Would be very useful if we could just upgrade buildings for a fee, such as the Cargo Harbour to Hub (without having to go through the process of destroying it first)All in all, is honestly one of the best purchases I have ever made to date on Steam. I've already lost 22+ hours since my purchase 4 days ago, and it has left me impressed each time I've exited the game. If you're into simulators, I highly recommend this one - I hope it leaves as much of an impression on you as it has on me.With an abundance of content and a plethora of mods being developed (or already developed), you seriously can't go wrong with this title. Bravo, and , bravo: thank you for this amazing game.9.5/10If you have any questions, please don't hesitate to ask - I will answer them to the best of my ability. On that note, cheers and happy building!: FREE STADIUM DLC! Thank you, - this game just gets better and better. You never fail to impress with the amount of dedication and love you have for your game.1) Can this game be played offline (credits to ru): Yes, yes this game can be played offline! I've done around 7 hours of gameplay offline (due to power outages). That didn't stop me from getting on this game though!2) Does the game require a lot of attention (credits to ru): the great thing about this game is that, while it does require micromanagement, it doesn't necessarily need a lot. You can leave the game in order to run an errand if you choose. I've left it for around 10 minutes before - always came back to a 99% operational city (those dead bodies, yo. Keep piling up!)"
32,59.8,Recommended," March 13, 2015",717,"Pros:+ Game mechanics that you would expect from a city builder+Built in modding tools+Beautiful Graphics+It's challanging (learning curve)+No lag, and I have a computer that doesn't meet the requirements+Lots of replayabilityCons:-takes over your life***Specs that are below the minimum requirements:2.8ghz (3.0 is the minimum)AMD Radeon HD 8400 video card ( nVIDIA GeForce GTX 260, 512 MB or ATI Radeon HD 5670, 512 MB is the minimum)Everything else is above the minimum required."
655,76.5,Recommended," April 24, 2015",425,"Cities: Skylines is a City Builder/Simulation game, and it’s fantastic.Cities: Skylines absolutely destroys EA and Maxis’ 2013 effort, Sim City, in every conceivable way. Where Maxis managed to somehow fail in a genre they pretty much invented, Colossal Games and Paradox Interactive have treated Maxis’ effort as a treatise on what not to do.This is, without a doubt, the game Sim City 2013 should have been.First up, the graphics. Skylines is very well optimized, with large detailed cities bustling along with no hiccups, and some nice options in the settings to fiddle with if you do experience any problems. The game looks great, with lots of detail. Buildings grow and “level up” as you watch, changing their value and appearance and attracting different types of people and businesses. You can easily identify different areas and specialties, as well as transport, power and sewerage systems by colour using the (mostly) intuitive UI. Clicking on people, houses and buildings will give you more details, and identifying problems (or successes) is made very easy.The gameplay is where Skylines shines, however. You’ll be juggling residents needs and wants by ensuring access to clean water, power, efficient transportation, entertainment and medicine, to name just a few. You’ll have to control pollution, both physical and noise, crime and disease. There are a variety of ways to do this, how you go about it is up to you.You’ll start by placing roads. Then zone areas off the roads into a category: Residential, Industrial, Retail and Office. Then set up a functioning power grid and clean water/waste water sewerage system. After that, it’s all about placing public services to attract more people, and expanding your city across the map. And what a map! You initially start on each map with a 2 square kilometre parcel of land in which to build, but can expand out over 8 such parcels out of 25 available per map. That said, it is trivial to mod out the limitation, and if your computer can handle it, you absolutely can build on the entire map. As a bonus, if you don’t like any of the premade maps the game ships with, you can easily use the in-game map editor to create (or recreate!) your own map to play on. There is even an asset editor too, so you can create and modify the in game assets to your preferences.The game systems make sense, and work how you’d expect them to. This is a simulation game, after all! After you’ve finished zoning your city, you can then create districts, which allow you to apply policies city wide or just to select areas. Make the CBD have compulsory smoke detectors and free public transport, while giving the poor and destitute section of town a rebate on green energy. Ban heavy vehicles from residential areas to lower noise and decongest traffic!Industries will make you money, but require careful planning. Take advantage of natural oil reserves, mine ore, farm, cut down your forests or simply go for “Generic”, where you’ll be making random stuff. The finance and taxation system is easily understood and superb.The game models traffic behaviour very well and in fact figuring out a way to manage high density traffic is one of the hardest aspects of playing Skylines. To that end, you’re given plenty of options, such as numerous road types, public transport, cargo ships, trains and aeroplanes.Surprisingly, the game has an incredibly effective water simulation too; Dams will burst and water flows realistically throughout the map, and pollution will be carried downstream with currents.The icing on the cake for Cities: Skylines is the fact that Skylines is 100% mod friendly, with integrated Steam Workshop support. People have already uploaded thousands of custom maps and assets to the workshop, as well as gameplay tweaks and it’s pretty safe to say that if you find something wrong with the game that you think could be better, there is a very good chance that there is already a mod for it on the workshop.Now you’ve heard me gush over how great this game is, what are the cons?The game doesn’t auto-save! This is a real pain if you mess up. But, there is a mod for that.There is no day/night cycle, which would have been nice. But, there is a mod for that.The camera doesn’t let me go low enough to get a good look of my city streets up close. But, there is a mod for that. There is another one that enables a First Person View from and person you click on in the street!Not a lot of maps to choose to play on. But, the workshop has hundreds available, downloaded and added to the available maps with a single click.There is even a mod that allows you and a friend to explore your cities in First Person online, using the in game people as avatars. Why? Who knows! But it’s possible!In conclusion, if you like city builders or simulation games, you cannot go wrong with Cities: Skylines. It is everything you could want out of this genre.Sim City, eat your heart out."
118,139.5,Recommended," May 11, 2015",464,"This really is the greatest city simulator there is, and will be for quite a long time. I'm having trouble finding ANYthing wrong with this game. I've played most SimCity's, Anno 2070, Cities XL and almost fell for the Cities XXL nonsense. Then I found this game, and my life is complete.Some of the things worth noting:- The UI is simple but intuitive, it doesn't have that featureless feeling some of the plainer UI's have.- The game itself runs incredibly well, however you do need a good processor and a few GB of RAM to play it idealy.- Gameplay is silky smooth and addicting, no glitches or anything. There's even a little in-engine physics to things like cars, rivers and trees.- Road design is incredibly free and grid layouts are 100% accurate, unlike 2013's Simcity.- Full workshop and in-game modding support with an expanding community and many interesting items and maps to choose from, Copper Creek on the workshop is my favorite.- This list just goes on and on...The only thing I can really notice being undesirable (to a small extent, it's not really a big deal) are things like garbage and deathcare. They tend to get overwhelming and lots of weekly money needs to be spent to fix them. (When your landfills are full or more people are dying than you can transport to a cemetary kind of thing) I'd recommend finding something better on the workshop or using the asset editor to lower/raise some gampleay values in those buildings slightly.Just a fair little heads up to newcomers, your citizens in this game are born, age, and die eventually. Don't worry though, they'll be replaced by their children for the largest part. But there may be a point in the game where a lot of people suddenly die and it's a little scary. This is because of your senior citizens getting a little too old. if you know what I mean. Be sure to prepare for this if you find it to happen, I am not completely certtain if it's just that playrhrough of mine of if it's actually a phenomenon within the game. :PTo sum it up and make it nice and short for you, this game really is a worthwhile investment and it honestly, coming from someone who's a dear city-builder fan, steps on all the other titles and I mean ALL of them. You'll love it.Find my review helpful? Have anything to say or any constructive criticism to give? No problem! Let me know!"
342,59.3,Recommended," March 26, 2015",2,"Let me give you a history lesson.In 1989 Simcity was relased. And it was great.In 1994 SimCity 2000 was released and it was great.In 1999 SC3k was released, and it was also, great. (Are you seeing a theme here?)In 2003, SimCity 4 was released, and it was perfection.Now... it gets sad.2007 brought us SimCity Socities, which was a thing.And in 2013 brought us Sim City. And Im sure you know what its miraid of problems was.Now finally, 12 years after the last great city building game comes Skylines.By NOT trying to do all the interconnected and multiplayer garbage that sunk a decade of titles, Collossal Order has hit one out of the park. Runs great on older machines, looks great, and has GREAT mod support.In all honesty, while writing the introduction I was trying to think of a negative element that came up. Still dont have one.Buy this game."
3,"3,467.0",Recommended," August 17, 2015",543,Without a doubt one of the best City Builders of all time. The price is so reasonable for the amount of quality content you get both from the default game and from all the modders on the Steam workshop. I'm so looking forward to what new things will be released in the future for this game. The Developers also listen to their customers and have been adding more modding tools for us to use to create new assets for players. Thanks CO!
1,136.5,Recommended," March 11, 2015",324,"This is a truncated version of this video review:YouTube™ Video: LGR - Cities: Skylines Review Views: 869,911Finally, a promising contender for SimCity's city-building crown. Is it any good? How does it compare to its predecessors? Find out in this review!If you’ve longed for another great city-builder like I have, or simply want to try one for the first time, I don’t hesitate at all in saying Cities Skylines is a superb choice.Skylines is a proper old school city-builder. As a SimCity player since the 1989 original, I was chomping at the bit to get my hands on this thing. I’ve spent about 40 hours on it so far, so the question is: does it succeed in its goal of topping SimCity? Well, in a word, YES.As is tradition, you start with a blank plot of land and a set of tools at your disposal. Generally the goal is to build a city, grow it as big as you like, and make sure it doesn’t die. You have a single highway connection to start out with, which acts as the first of many entrances to your city. Use the road tools to draw some roads, and you’ll see that you get groups of tiles extending from the side of them. These tiles can be filled with three types of zones: residential, commercial, and industrial, which will become homes, shops, and factories. Although more come into play later on, like high-density residential and commercial zones, as well as office zones, the central system of RCI demand is very much in play here. The more demand for a zone you have, the more people will move in to fill those zones and the more service buildings you'll require, so you’ll want to balance their placement with the other needs of the city. Beyond these basics, it’s totally up to you as to what’s next.And thankfully you’re not limited to your initial map size. That starting plot of land is 2 square kilometers, but once you start reaching its borders, you have the option to buy more, up to 36 square miles worth (more if you mod the game with the excellent tile mod on Steam.) Although, sometimes the game gets a bit bogged down in ambiguities regarding its logic, mostly regarding traffic, services, and lack of UI information. But once I started to figure these systems out, the challenge in fixing them was hugely rewarding. Cities XXL and SimCity 5 were entirely too easy, and if you screwed those cities up, that was a real feat of ineptitude. Here, a doomed city can arise from something as simple as building an intersection instead of a multi-lane traffic circle, and that’s kind of awesome. But it doesn't feel cheap, it feels like something to learn from and perform better next time. There are also some included mods from the developers, which act as cheats and difficulty settings in lieu of more traditional menu options. And on top of that there's an incredible potential for user-made mods, with a full blessing from the developer to do so with the included Steam Workshop support.Let me just say it: This is the game I’ve been craving since SimCity 4. My few complaints are just drops in a sea of truly satisfying gameplay. It’s the kind of game that I can play for so many hours at a time that when I leave, I start seeing zone layouts in my ceiling, and traffic patterns in my cereal. Just give me a pot of coffee and watch me while away dozens of hours creating the perfect balance of land value, city services, and mass transit systems and be completely content. It’s blissful, stressful, and compelling on a level that few games ever achieve for me anymore. There are so many details that I love, like the way you can paint zones with different brushes, the sweeping orchestral soundtrack, the guidelines that appear when placing roads, the fact you can flood your city if you dam a river improperly, the way any zone has buildings that fit into any plot shape, and on and on.And it runs great too, even when surpassing 100,000 citizens, it still played solidly with minimal frame rate issues on both my desktop and laptop. Colossal Order pulled off a true colossal order here: they made a better SimCity than Maxis could (requiescat in pace.) And all this with a comparatively small budget, a team of a dozen or so people, and the Unity Engine. Just... wow. Cities Skylines is a total slap in the face to SimCity 5, and man is it a beautiful thing to behold. And the price... you get twice the game at half the price of its rival's launch price. Folks, this is what I like to call “doing it right”. They could’ve charged double and I still would recommend it, but wow. This is a top-notch game at a bargain launch price, and it makes me want to cry tears of joy."
