product,hour,title,date,helpful,comment
17,"4,059.9",Recommended," May 30, 2017",2,"If you want to have a great life with jobs, moneys, girl, etc, don't play this game."
1,"2,495.5",Recommended, February 3,216,Ruins your social life.Makes you sad and happy at the same time. Recommended for people who do not want a life.
103,"1,349.8",Recommended," May 27, 2017",102,You either quit while you are the feeder or play long enough to see yourself become toxic.
472,"1,792.6",Recommended," June 26, 2014",224,"If you enjoyed Metro 2033 or Metro Last Light, you'll love this game. It's full of russians too."
559,"3,374.5",Recommended," December 16, 2013",13,"Causes anxiety problems, low self esteem, Tourette's syndrome, mood swings, Bipolar disorder, breakdown of relationships, raging erections, racism. Would definitely recommend."
23,"5,556.9",Recommended," July 30, 2014",60,good
367,834.8,Recommended," November 13, 2014",4,This game taught me about the diversity of cultures that our small little corner of the universe offers.Then it taught me to hate them all.
50,"3,305.1",Recommended," May 26, 2017",504,"Skipped classes thanks to Dota.Learned to gamble thanks to Dota.Learned to swear in 12 different languages thanks to Dota.Became racist thanks to Dota.All in all, Ruin your life simulator. 10/10 would recommend if you are trying to kill yourself.Cancer can be cured,SEA Dota community can't be."
154,869.8,Recommended," June 23, 2014",74,"Imagine, for a moment, that it is Christmas morning. Your home is abuzz with laughter, and the smell of fresh baked goods drifts up from downstairs. You race to the tree, and begin to open a beautiful present, adorned with festive colors and a wrapping scheme that is both dauntingly complex yet also simple in its execution. You turn to your mother, father, and two siblings and smile; for you know that your adventure into opening your gift is about to begin. You go to open your unwrapped box, and BWONG.. A horn bellows, deafening you. Out of the box pops a small, dwarf-like figure, wielding a multicultural bat festooned with Ecuadorian and Peruvian patterns, and of Russian construction. ""THANKS FOR STANDING STILL, GANKER,"" he shrieks, as he wallops young brother Timmy in the teeth. Your mother tuts and scolds him, for being out of position. The dwarf darts under the tree, looking for a hole in the wall to continue his pursuit of rat-DOTA. ""Gank him,♥♥♥♥♥♥♥♥♥♥♥!"" your father roars, as he sits on the couch lazily and watches. You crawl, desperate for your gift of victory over the rat, under the tree, and he continues to elude you. Suddenly, with a flourish, he produces a lighter, and proceeds to methodically burn down your house while muttering ""GG 2 EZ"", and your family sits in the living room muttering ""garbage team"" and ""reported"". Your family home burns down around them, and only you escape the engulfing flames, accompanied by the chortles of the dwarf. Downtrodden but not easily bested, you begin your walk down the street to your friend's house, in the hopes that by having Christmas at their house, you might be able to somehow catch the multicultural dwarf on the second try.10/10 Best fun and Peruvian simulator."
49,"1,092.3",Recommended, February 18,352,"Skipped classes thanks to Dota.Learned to gamble thanks to Dota.Learned to swear in 12 different languages thanks to Dota.Became racist thanks to Dota.All in all, Ruin your life simulator. 10/10 would recommend if you are trying to kill yourself.Cancer can be cured,Dota community can't be."
51,525.6,Recommended," August 19, 2014",81,"This game taught me that friends are very important, because I'm not gonna play on a team with four random♥♥♥♥♥♥♥♥ that's for sure."
247,"1,302.0",Recommended," October 8, 2014",3,It's like roulette; fun until it turns into Russian.
277,"19,698.7",Recommended," September 22, 2011",69,good game
111,"2,198.0",Recommended," August 11, 2014",145,Made my family think i got some kind of mental illness.... 10/10
2,46.9,Recommended," December 19, 2017",174,"If you are worried your children are doing drugs, show them this game. They will be too busy fulfilling their innermost masochistic desires while hopelessly right clicking that they will not have the time for drugs or friends or anything else really."
87,"2,068.3",Recommended," February 8, 2015",2,"In Dota 2,Not many people speak your language.Not many people play well.Not many people talk nicely.Not many people work as a team.But if you find people that do...You'll have the most fun you've ever had."
134,"6,716.7",Recommended," April 25, 2014",70,"This game allows you to exert your knowledge and understanding of layered mechanics (and exceptions of those game mechanisms) onto randomly-selected regional people without their permission or interest.Heated debates can lead to forged alliances to achieve that common goal or end into displaced frustration projected onto others to substitute one's own failures and inabilities to execute one's characters' (heroes') qualities.On the other hand, this game allows one to create 'hero build' guides as a pretense to be productive with his/her vexation as well as to fruitlessly raise the standard of expected knowledge of the game through item and ability walkthroughs in hopes that those one encounters in the future, rely on these indirect, serviced suggestion(s)."
128,"1,025.5",Recommended," July 1, 2014",76,"Comrades, it is time to rejoice. The cult classic Communist adventure saga continues with the newest installment of the series, Downfall of the Americans 2: Stalin's Revemge. Featuring the original cast of Stalin and all of his closest friends, including Russian Bear, Dr. Vodka, and Krokodealer, this game is a must have for the whole village. Destroy filthy American Strongholds to spread wealth to all of your comrades, use teamwork to crush the American scum, and lead your comrades to victory. Feel as though you are on a whole different level than your peers? Play ranked matches to realize that you suck just as much as they do. Looking for an easy game to boost morale? Enter a bot match to fight Americans as they should be percieved: easy to find and easy to kill. The game even features collectable hats to help your characters survive the harsh winter. Karl Marx/10"
